Rank,Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Games,Score,Score%,DE,Wins,SB
1,Stockfish 151121 NN x64,x,16.5,19.0,18.5,20.5,20.5,19.5,21.5,22.0,23.5,20.5,22.0,23.5,23.0,25.5,22.5,26.0,25.5,26.5,24.5,25.5,27.0,28.0,26.5,26.5,24.5,28.5,26.0,25.5,26.0,27.0,27.5,26.5,28.0,25.5,28.0,26.0,26.5,26.5,27.0,29.0,1200,982.5,81.88,0.0,0,0.0
2,Dragon 2.5.1 by Komodo NN AVX2 x64,13.5,x,18.0,17.0,20.5,20.5,21.0,21.5,20.5,22.5,20.5,22.0,24.5,23.5,20.5,24.5,23.5,25.5,24.5,24.5,25.0,24.0,26.5,23.0,27.0,28.0,26.0,27.0,25.5,26.0,26.5,28.0,27.0,24.5,27.0,28.5,27.5,28.0,27.5,27.5,28.5,1200,967.0,80.58,0.0,0,0.0
3,Fire 8 NN MC.3 x64,11.0,12.0,x,16.0,17.0,17.0,16.0,20.0,17.0,19.0,20.0,20.5,20.0,22.0,22.5,21.5,21.0,23.0,21.5,25.5,24.0,24.5,24.0,26.5,23.5,24.5,27.0,23.5,26.0,25.5,24.5,24.5,25.5,24.5,25.0,24.5,23.5,24.5,28.0,26.5,26.5,1200,889.0,74.08,0.0,0,0.0
4,SlowChess Blitz 2.8 NN AVX2 x64,11.5,13.0,14.0,x,17.0,17.0,15.5,18.0,18.0,18.5,18.5,20.0,19.0,19.5,18.0,19.0,24.0,21.5,21.5,20.5,23.0,24.5,22.5,20.5,26.0,25.0,23.0,23.0,24.0,25.5,24.0,25.0,24.5,24.0,27.5,26.0,26.0,27.0,25.5,27.0,26.5,1200,864.0,72.0,0.0,0,0.0
5,Ethereal 13.25 NN PEXT x64,9.5,9.5,13.0,13.0,x,14.0,14.5,15.5,18.0,17.5,18.5,19.0,20.0,19.0,18.5,22.0,22.5,24.0,21.0,23.5,23.0,22.5,24.0,22.5,23.5,24.0,25.0,22.5,27.5,25.0,23.0,25.0,23.5,26.5,24.0,25.5,23.0,25.0,27.5,26.0,26.5,1200,847.5,70.62,0.0,0,0.0
6,Koivisto 7.5 NN AVX2 x64,9.5,9.5,13.0,13.0,16.0,x,16.0,16.0,17.5,17.0,17.0,16.5,18.5,21.0,20.5,21.5,21.0,24.0,23.0,22.0,22.5,22.5,23.0,24.5,22.5,23.0,22.5,24.5,26.0,23.0,25.0,24.0,25.5,24.0,25.5,27.0,25.0,26.5,24.0,25.5,27.0,1200,845.5,70.46,0.0,0,0.0
7,Berserk 7 NN PEXT x64,10.5,9.0,14.0,14.5,15.5,14.0,x,15.0,16.5,19.0,17.0,20.0,19.0,19.5,21.0,21.0,20.5,22.0,23.5,22.5,22.5,22.0,24.0,22.5,22.0,25.0,22.5,22.5,23.0,24.0,24.5,24.5,23.0,23.5,25.0,25.0,24.0,23.0,21.5,25.0,26.0,1200,829.0,69.08,0.0,0,0.0
8,RubiChess 2.2 NN x64,8.5,8.5,10.0,12.0,14.5,14.0,15.0,x,13.5,16.5,16.0,16.0,18.0,19.5,18.0,17.0,19.5,18.5,22.0,21.5,22.0,21.5,22.0,23.0,20.0,21.0,24.0,22.5,22.0,23.0,22.5,22.5,21.0,23.5,23.5,24.0,24.0,25.5,23.0,27.0,25.5,1200,781.5,65.12,0.0,0,0.0
9,Revenge 1.0 NN x64,8.0,9.5,13.0,12.0,12.0,12.5,13.5,16.5,x,14.5,15.5,17.5,19.0,17.5,17.5,18.0,21.0,20.5,20.0,22.5,21.5,19.0,22.0,19.5,22.0,21.0,20.5,20.5,20.5,22.0,20.0,22.0,23.0,22.0,22.5,23.5,24.5,21.0,23.0,21.5,23.0,1200,755.0,62.92,0.0,0,0.0
10,Seer 2.4.0 NN AVX2 x64,6.5,7.5,11.0,11.5,12.5,13.0,11.0,13.5,15.5,x,13.5,17.5,14.5,15.0,17.5,17.0,18.5,20.5,21.0,20.0,19.5,18.0,23.0,18.5,23.5,23.5,22.0,20.5,22.0,19.5,21.0,22.5,21.0,22.0,22.0,23.5,21.0,25.0,23.5,25.0,25.5,1200,739.0,61.58,0.0,0,0.0
11,Igel 3.0.10 NN BMI2 x64,9.5,9.5,10.0,11.5,11.5,13.0,13.0,14.0,14.5,16.5,x,18.0,16.5,17.5,16.5,17.5,16.0,19.5,18.0,18.0,20.0,19.5,20.5,20.5,20.5,21.5,21.5,22.5,21.5,22.0,17.5,23.0,19.5,23.0,20.5,24.0,21.5,25.5,22.0,24.0,24.0,1200,735.0,61.25,0.0,0,0.0
12,Nemorino 6.09 NN x64,8.0,8.0,9.5,10.0,11.0,13.5,10.0,14.0,12.5,12.5,12.0,x,13.5,17.5,16.0,17.5,21.0,18.5,19.5,18.5,23.5,21.5,20.0,21.0,20.0,21.5,19.0,19.0,22.5,20.0,19.0,21.0,21.5,21.0,21.0,23.0,21.5,24.0,26.5,25.5,24.0,1200,719.0,59.92,0.0,0,0.0
13,rofChade 2.310 NN x64,6.5,5.5,10.0,11.0,10.0,11.5,11.0,12.0,11.0,15.5,13.5,16.5,x,15.5,17.5,16.5,16.5,20.0,18.5,20.0,22.0,19.0,19.5,23.5,19.5,21.5,20.0,20.5,20.0,21.0,20.5,21.0,17.0,22.5,24.5,21.5,20.5,22.5,24.5,25.0,27.0,1200,711.5,59.29,0.0,0,0.0
14,Arasan 23.0.1 NN AVX2 x64,7.0,6.5,8.0,10.5,11.0,9.0,10.5,10.5,12.5,15.0,12.5,12.5,14.5,x,14.0,18.0,16.0,17.5,18.5,15.5,17.0,19.5,15.0,19.5,22.0,23.5,18.5,17.5,21.5,21.5,18.5,22.0,22.0,21.5,22.5,19.5,22.0,21.5,21.5,21.5,22.5,1200,670.0,55.83,0.0,0,0.0
15,Lc0 0.28.0 NN CPU-dnnl,4.5,9.5,7.5,12.0,11.5,9.5,9.0,12.0,12.5,12.5,13.5,14.0,12.5,16.0,x,14.5,16.0,15.5,16.5,17.0,19.0,21.5,19.5,19.0,16.0,17.0,15.5,21.0,18.0,16.5,22.0,22.5,18.5,20.0,19.5,17.5,21.0,20.5,21.5,23.5,20.5,1200,646.0,53.83,0.0,0,0.0
16,Booot 6.5 POPCNT x64,7.5,5.5,8.5,11.0,8.0,8.5,9.0,13.0,12.0,13.0,12.5,12.5,13.5,12.0,15.5,x,17.5,17.0,15.5,18.0,15.5,18.5,18.0,17.0,17.5,18.5,18.0,18.0,17.5,19.5,17.0,19.5,18.5,21.0,23.5,21.5,20.5,21.5,21.5,22.0,23.5,1200,638.0,53.17,0.0,0,0.0
17,Xiphos 0.6 BMI2 x64,4.0,6.5,9.0,6.0,7.5,9.0,9.5,10.5,9.0,11.5,14.0,9.0,13.5,14.0,14.0,12.5,x,17.5,15.0,15.0,17.5,17.0,19.5,16.0,19.5,17.0,16.0,15.5,16.0,19.5,19.0,17.5,20.0,20.0,18.5,19.0,17.5,21.0,22.5,21.0,24.0,1200,600.5,50.04,0.0,0,0.0
18,Minic 3.17 NN x64,4.5,4.5,7.0,8.5,6.0,6.0,8.0,11.5,9.5,9.5,10.5,11.5,10.0,12.5,14.5,13.0,12.5,x,16.5,15.5,17.0,16.0,15.0,16.5,17.5,16.5,16.5,18.5,17.0,17.5,17.5,19.5,16.0,16.0,19.5,16.5,20.5,19.5,20.5,20.5,20.0,1200,565.5,47.12,16.5,216,53194.0
19,Wasp 5.00 NN AVX2 x64,3.5,5.5,8.5,8.5,9.0,7.0,6.5,8.0,10.0,9.0,12.0,10.5,11.5,11.5,13.5,14.5,15.0,13.5,x,15.5,16.5,14.5,15.5,17.5,19.0,17.0,15.0,15.0,18.0,18.5,19.0,17.0,15.5,18.0,18.5,18.0,18.5,20.5,20.5,19.5,21.0,1200,565.5,47.12,13.5,202,51762.5
20,Weiss 2.0 PEXT x64,5.5,5.5,4.5,9.5,6.5,8.0,7.5,8.5,7.5,10.0,12.0,11.5,10.0,14.5,13.0,12.0,15.0,14.5,14.5,x,13.5,14.5,15.5,14.0,17.0,17.5,16.0,16.0,16.0,17.5,18.0,18.5,19.5,19.0,19.5,16.5,19.0,19.5,22.0,24.5,21.0,1200,564.5,47.04,0.0,0,0.0
