Rank,Name,Rating,Games,Score,Score%,Win,Loss,Draw,Draw%
1,Stockfish 151121 NN x64,3470,1200,982.5,81.88,487,282,431,35.92
2,Dragon 2.5.1 by Komodo NN AVX2 x64,3460,1200,967.0,80.58,475,273,452,37.67
3,Fire 8 NN MC.3 x64,3390,1200,889.0,74.08,418,214,568,47.33
4,SlowChess Blitz 2.8 NN AVX2 x64,3370,1200,864.0,72.0,391,195,614,51.17
5,Ethereal 13.25 NN PEXT x64,3350,1200,847.5,70.62,399,204,597,49.75
6,Koivisto 7.5 NN AVX2 x64,3350,1200,845.5,70.46,387,212,601,50.08
7,Berserk 7 NN PEXT x64,3340,1200,829.0,69.08,370,188,642,53.5
8,RubiChess 2.2 NN x64,3300,1200,781.5,65.12,333,186,681,56.75
9,Revenge 1.0 NN x64,3290,1200,755.0,62.92,341,157,702,58.5
10,Seer 2.4.0 NN AVX2 x64,3280,1200,739.0,61.58,361,155,684,57.0
11,Igel 3.0.10 NN BMI2 x64,3270,1200,735.0,61.25,326,154,720,60.0
12,Nemorino 6.09 NN x64,3260,1200,719.0,59.92,345,191,664,55.33
13,rofChade 2.310 NN x64,3260,1200,711.5,59.29,363,154,683,56.92
14,Arasan 23.0.1 NN AVX2 x64,3230,1200,670.0,55.83,334,144,722,60.17
15,Lc0 0.28.0 NN CPU-dnnl,3210,1200,646.0,53.83,377,153,670,55.83
16,Booot 6.5 POPCNT x64,3210,1200,638.0,53.17,346,158,696,58.0
17,Xiphos 0.6 BMI2 x64,3180,1200,600.5,50.04,329,140,731,60.92
18,Minic 3.17 NN x64,3160,1200,565.5,47.12,358,143,699,58.25
19,Wasp 5.00 NN AVX2 x64,3160,1200,565.5,47.12,314,159,727,60.58
20,Weiss 2.0 PEXT x64,3160,1200,564.5,47.04,337,176,687,57.25
21,Schooner 2.2 XB SSE x64,3140,1200,538.0,44.83,343,159,698,58.17
22,Defenchess 2.3 dev BMI2 x64,3140,1200,528.0,44.0,339,171,690,57.5
23,Fritz 18 (Ginkgo) x64,3140,1200,527.5,43.96,361,166,673,56.08
24,Zahak 8.6 AMD x64,3140,1200,526.5,43.88,352,205,643,53.58
25,Shredder 13 POPCNT x64,3120,1200,511.0,42.58,368,182,650,54.17
26,Laser 1.7 BMI2 x64,3120,1200,510.5,42.54,368,191,641,53.42
27,Marvin 5.2.0 NN AVX2 x64,3120,1200,505.5,42.12,366,163,671,55.92
28,Clover 2.4 x64,3120,1200,505.0,42.08,337,159,704,58.67
29,Chiron 5 x64,3120,1200,495.0,41.25,368,196,636,53.0
30,Fizbo 2.0 BMI2 x64,3100,1200,479.5,39.96,383,172,645,53.75
31,DanaSah 9.0 NN AVX2 x64,3100,1200,479.0,39.92,350,198,652,54.33
32,Andscacs 0.95.123 x64,3100,1200,473.0,39.42,378,198,624,52.0
33,Dark Toga 1.1 NN AVX2 x64,3090,1200,452.0,37.67,401,199,600,50.0
34,Winter 0.9 BMI2 x64,3080,1200,436.5,36.38,403,228,569,47.42
35,Halogen 10 NN PEXT x64,3070,1200,432.0,36.0,394,208,598,49.83
36,GullChess 3.0 Sy BMI2 x64,3060,1200,414.0,34.5,386,232,582,48.5
37,Orion 0.8 NN FMA x64,3060,1200,408.5,34.04,375,184,641,53.42
38,Stash 31.16 x64,3050,1200,401.0,33.42,387,203,610,50.83
39,Nirvanachess 2.5 POPCNT x64,3020,1200,362.5,30.21,376,251,573,47.75
40,Combusken 1.4.0 AMD x64,3020,1200,351.5,29.29,447,232,521,43.42
41,Demolito 2021-07-09 x64,3010,1200,348.0,29.0,425,265,510,42.5
